SNR (dB),BER
0,0.14041666666666666
1,0.1325
2,0.13541666666666666
3,0.12833333333333333
4,0.14041666666666666
5,0.12916666666666668
6,0.12666666666666668
7,0.14416666666666667
8,0.12625
